coverage_treat,coverage_ctrl,tp_called,total_called,tp_planted,total_planted,n_runs,precision,recall,f1
5.0,0.5,195,205,205,360,12,0.9512195121951219,0.5694444444444444,0.7124081087101805
5.0,1.0,320,345,332,360,12,0.927536231884058,0.9222222222222223,0.9248715939757989
5.0,2.0,334,372,346,360,12,0.8978494623655914,0.9611111111111111,0.9284038690189274
5.0,4.0,336,397,348,360,12,0.8463476070528967,0.9666666666666667,0.9025147038392072
5.0,8.0,336,397,348,360,12,0.8463476070528967,0.9666666666666667,0.9025147038392072
5.0,12.0,336,397,348,360,12,0.8463476070528967,0.9666666666666667,0.9025147038392072
5.0,16.0,336,397,348,360,12,0.8463476070528967,0.9666666666666667,0.9025147038392072
5.0,24.0,336,397,348,360,12,0.8463476070528967,0.9666666666666667,0.9025147038392072
10.0,0.5,187,191,197,360,12,0.9790575916230366,0.5472222222222223,0.7020496059915958
10.0,1.0,324,340,336,360,12,0.9529411764705882,0.9333333333333333,0.9430353430353431
10.0,2.0,336,364,348,360,12,0.9230769230769231,0.9666666666666667,0.9443690637720489
10.0,4.0,343,420,355,360,12,0.8166666666666667,0.9861111111111112,0.8934257832562917
10.0,8.0,346,444,358,360,12,0.7792792792792793,0.9944444444444445,0.8738113377916985
10.0,12.0,346,444,358,360,12,0.7792792792792793,0.9944444444444445,0.8738113377916985
10.0,16.0,346,444,358,360,12,0.7792792792792793,0.9944444444444445,0.8738113377916985
10.0,24.0,346,444,358,360,12,0.7792792792792793,0.9944444444444445,0.8738113377916985
20.0,0.5,186,188,198,360,12,0.9893617021276596,0.55,0.7069799585348999
20.0,1.0,325,339,337,360,12,0.9587020648967551,0.9361111111111111,0.947271917420203
20.0,2.0,334,361,346,360,12,0.925207756232687,0.9611111111111111,0.942817749422793
20.0,4.0,342,400,354,360,12,0.855,0.9833333333333333,0.9146872166817769
20.0,8.0,346,465,358,360,12,0.7440860215053764,0.9944444444444445,0.851238703913686
20.0,12.0,347,488,359,360,12,0.7110655737704918,0.9972222222222222,0.8301767340192996
20.0,16.0,347,488,359,360,12,0.7110655737704918,0.9972222222222222,0.8301767340192996
20.0,24.0,347,488,359,360,12,0.7110655737704918,0.9972222222222222,0.8301767340192996
