coverage_treat,coverage_ctrl,tp_called,total_called,tp_planted,total_planted,n_runs,precision,recall,f1
5.0,0.5,257,271,261,360,12,0.948339483394834,0.725,0.8217652571806605
5.0,1.0,324,356,330,360,12,0.9101123595505618,0.9166666666666666,0.9133777549974371
5.0,2.0,343,574,349,360,12,0.5975609756097561,0.9694444444444444,0.7393748108435297
5.0,4.0,350,1478,356,360,12,0.2368064952638701,0.9888888888888889,0.38211013113185566
5.0,8.0,350,1478,356,360,12,0.2368064952638701,0.9888888888888889,0.38211013113185566
5.0,12.0,350,1478,356,360,12,0.2368064952638701,0.9888888888888889,0.38211013113185566
5.0,16.0,350,1478,356,360,12,0.2368064952638701,0.9888888888888889,0.38211013113185566
5.0,24.0,350,1478,356,360,12,0.2368064952638701,0.9888888888888889,0.38211013113185566
10.0,0.5,262,273,268,360,12,0.9597069597069597,0.7444444444444445,0.8384800936208832
10.0,1.0,324,346,330,360,12,0.9364161849710982,0.9166666666666666,0.9264361840395112
10.0,2.0,339,411,345,360,12,0.8248175182481752,0.9583333333333334,0.8865768377963501
10.0,4.0,348,1390,355,360,12,0.2503597122302158,0.9861111111111112,0.39933411989074397
10.0,8.0,351,2321,358,360,12,0.15122791900043084,0.9944444444444445,0.26253188728875
10.0,12.0,351,2321,358,360,12,0.15122791900043084,0.9944444444444445,0.26253188728875
10.0,16.0,351,2321,358,360,12,0.15122791900043084,0.9944444444444445,0.26253188728875
10.0,24.0,351,2321,358,360,12,0.15122791900043084,0.9944444444444445,0.26253188728875
20.0,0.5,265,276,270,360,12,0.9601449275362319,0.75,0.8421610169491526
20.0,1.0,326,350,332,360,12,0.9314285714285714,0.9222222222222223,0.926802534680596
20.0,2.0,343,395,349,360,12,0.8683544303797468,0.9694444444444444,0.9161191574033329
20.0,4.0,350,840,356,360,12,0.4166666666666667,0.9888888888888889,0.5862977602108037
20.0,8.0,353,2053,359,360,12,0.17194349732099368,0.9972222222222222,0.2933132123683757
20.0,12.0,353,2607,359,360,12,0.13540467970847717,0.9972222222222222,0.2384343076577174
20.0,16.0,353,2607,359,360,12,0.13540467970847717,0.9972222222222222,0.2384343076577174
20.0,24.0,353,2607,359,360,12,0.13540467970847717,0.9972222222222222,0.2384343076577174
