run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0001,5,30,4,4,0.8,0.13333333333333333,0.2285714285714286,0001_con,0001_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,0.5,5,0,5,20,1000
0002,26,30,23,24,0.8846153846153846,0.8,0.8401826484018265,0002_con,0002_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,0.5,5,0,5,20,2500
0003,17,30,16,17,0.9411764705882353,0.5666666666666667,0.7074122236671001,0003_con,0003_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,1.0,5,0,5,20,1000
0004,28,30,28,29,1.0,0.9666666666666667,0.983050847457627,0004_con,0004_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,1.0,5,0,5,20,2500
0005,34,30,25,26,0.7352941176470589,0.8666666666666667,0.7955936352509181,0005_con,0005_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,2.0,5,0,5,20,1000
0006,32,30,28,30,0.875,1.0,0.9333333333333333,0006_con,0006_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,2.0,5,0,5,20,2500
0007,64,30,26,28,0.40625,0.9333333333333333,0.5660964230171073,0007_con,0007_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,4.0,5,0,5,20,1000
0008,61,30,28,30,0.45901639344262296,1.0,0.6292134831460674,0008_con,0008_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,4.0,5,0,5,20,2500
0009,64,30,26,28,0.40625,0.9333333333333333,0.5660964230171073,0009_con,0009_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,8.0,5,0,5,20,1000
0010,61,30,28,30,0.45901639344262296,1.0,0.6292134831460674,0010_con,0010_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,8.0,5,0,5,20,2500
0011,64,30,26,28,0.40625,0.9333333333333333,0.5660964230171073,0011_con,0011_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,12.0,5,0,5,20,1000
0012,61,30,28,30,0.45901639344262296,1.0,0.6292134831460674,0012_con,0012_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,12.0,5,0,5,20,2500
0013,64,30,26,28,0.40625,0.9333333333333333,0.5660964230171073,0013_con,0013_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,16.0,5,0,5,20,1000
