canonical_name,coverage_treat,precision_dropoff_ctrl,max_precision
flatearth_peak_broad,5.0,24.0,0.951219512195122
flatearth_peak_broad,10.0,8.0,0.9790575916230366
flatearth_peak_broad,20.0,8.0,0.9893617021276596
flatearth_plateau_broad,5.0,24.0,0.9817073170731708
flatearth_plateau_broad,10.0,8.0,0.9814814814814816
flatearth_plateau_broad,20.0,8.0,0.9813664596273292
hilly_peak_narrow,5.0,2.0,0.9210526315789472
hilly_peak_narrow,10.0,4.0,0.9288389513108616
hilly_peak_narrow,20.0,4.0,0.935672514619883
wavy_peak_narrow,5.0,2.0,0.948339483394834
wavy_peak_narrow,10.0,4.0,0.9597069597069596
wavy_peak_narrow,20.0,4.0,0.960144927536232
hilly_plateau_broad,5.0,2.0,0.8827838827838828
hilly_plateau_broad,10.0,4.0,0.925925925925926
hilly_plateau_broad,20.0,4.0,0.9254658385093169
wavy_plateau_broad,5.0,4.0,0.9382716049382716
wavy_plateau_broad,10.0,4.0,0.9202453987730062
wavy_plateau_broad,20.0,4.0,0.923529411764706
