run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0001,4,30,4,5,1.0,0.16666666666666666,0.2857142857142857,0001_con,0001_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,0.5,5,0,5,5,1500
0002,28,30,26,27,0.9285714285714286,0.9,0.9140625,0002_con,0002_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,0.5,5,0,5,5,2500
0003,28,30,28,29,1.0,0.9666666666666667,0.983050847457627,0003_con,0003_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,1.0,5,0,5,5,1500
0004,30,30,29,30,0.9666666666666667,1.0,0.983050847457627,0004_con,0004_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,1.0,5,0,5,5,2500
0005,29,30,29,30,1.0,1.0,1.0,0005_con,0005_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,2.0,5,0,5,5,1500
0006,30,30,29,30,0.9666666666666667,1.0,0.983050847457627,0006_con,0006_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,2.0,5,0,5,5,2500
0007,31,30,29,30,0.9354838709677419,1.0,0.9666666666666666,0007_con,0007_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,4.0,5,0,5,5,1500
0008,32,30,29,30,0.90625,1.0,0.9508196721311475,0008_con,0008_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,4.0,5,0,5,5,2500
0009,31,30,29,30,0.9354838709677419,1.0,0.9666666666666666,0009_con,0009_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,8.0,5,0,5,5,1500
0010,32,30,29,30,0.90625,1.0,0.9508196721311475,0010_con,0010_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,8.0,5,0,5,5,2500
0011,31,30,29,30,0.9354838709677419,1.0,0.9666666666666666,0011_con,0011_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,12.0,5,0,5,5,1500
0012,32,30,29,30,0.90625,1.0,0.9508196721311475,0012_con,0012_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,12.0,5,0,5,5,2500
0013,31,30,29,30,0.9354838709677419,1.0,0.9666666666666666,0013_con,0013_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,16.0,5,0,5,5,1500
0014,32,30,29,30,0.90625,1.0,0.9508196721311475,0014_con,0014_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,16.0,5,0,5,5,2500
0015,31,30,29,30,0.9354838709677419,1.0,0.9666666666666666,0015_con,0015_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,24.0,5,0,5,5,1500
0016,32,30,29,30,0.90625,1.0,0.9508196721311475,0016_con,0016_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,24.0,5,0,5,5,2500
0017,2,30,2,2,1.0,0.06666666666666667,0.125,0017_con,0017_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,0.5,10,0,5,5,1500
