run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0001,0,30,0,0,0.0,0.0,0.0,0001_con,0001_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,0.5,5,0,5,20,1000
0002,28,30,28,29,1.0,0.9666666666666667,0.983050847457627,0002_con,0002_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,0.5,5,0,5,20,2500
0003,17,30,13,14,0.7647058823529411,0.4666666666666667,0.5796178343949044,0003_con,0003_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,1.0,5,0,5,20,1000
0004,29,30,28,30,0.9655172413793104,1.0,0.9824561403508771,0004_con,0004_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,1.0,5,0,5,20,2500
0005,28,30,25,27,0.8928571428571429,0.9,0.896414342629482,0005_con,0005_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,2.0,5,0,5,20,1000
0006,30,30,28,30,0.9333333333333333,1.0,0.9655172413793104,0006_con,0006_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,2.0,5,0,5,20,2500
0007,31,30,27,29,0.8709677419354839,0.9666666666666667,0.9163253364540667,0007_con,0007_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,4.0,5,0,5,20,1000
0008,33,30,28,30,0.8484848484848485,1.0,0.9180327868852458,0008_con,0008_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,4.0,5,0,5,20,2500
0009,31,30,27,29,0.8709677419354839,0.9666666666666667,0.9163253364540667,0009_con,0009_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,8.0,5,0,5,20,1000
0010,33,30,28,30,0.8484848484848485,1.0,0.9180327868852458,0010_con,0010_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,8.0,5,0,5,20,2500
0011,31,30,27,29,0.8709677419354839,0.9666666666666667,0.9163253364540667,0011_con,0011_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,12.0,5,0,5,20,1000
0012,33,30,28,30,0.8484848484848485,1.0,0.9180327868852458,0012_con,0012_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,12.0,5,0,5,20,2500
0013,31,30,27,29,0.8709677419354839,0.9666666666666667,0.9163253364540667,0013_con,0013_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,16.0,5,0,5,20,1000
0014,33,30,28,30,0.8484848484848485,1.0,0.9180327868852458,0014_con,0014_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,16.0,5,0,5,20,2500
0015,31,30,27,29,0.8709677419354839,0.9666666666666667,0.9163253364540667,0015_con,0015_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,24.0,5,0,5,20,1000
0016,33,30,28,30,0.8484848484848485,1.0,0.9180327868852458,0016_con,0016_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,24.0,5,0,5,20,2500
0017,0,30,0,0,0.0,0.0,0.0,0017_con,0017_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,0.5,10,0,5,20,1000
0018,28,30,28,29,1.0,0.9666666666666667,0.983050847457627,0018_con,0018_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,0.5,10,0,5,20,2500
0019,18,30,14,15,0.7777777777777778,0.5,0.6086956521739131,0019_con,0019_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,1.0,10,0,5,20,1000
0020,28,30,28,30,1.0,1.0,1.0,0020_con,0020_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,1.0,10,0,5,20,2500
0021,29,30,28,29,0.9655172413793104,0.9666666666666667,0.9660916121356335,0021_con,0021_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.0,0.0,0,1.5,10,1.0,True,2.0,10,0,5,20,1000
