coverage_treat,coverage_ctrl,tp_called,total_called,tp_planted,total_planted,n_runs,precision,recall,f1
5.0,0.5,161,164,167,360,12,0.9817073170731707,0.4638888888888889,0.6300557716642453
5.0,1.0,255,282,265,360,12,0.9042553191489362,0.7361111111111112,0.8115654836966313
5.0,2.0,319,362,331,360,12,0.8812154696132597,0.9194444444444444,0.8999241462188168
5.0,4.0,328,393,342,360,12,0.8346055979643766,0.95,0.8885720396378413
5.0,8.0,328,393,342,360,12,0.8346055979643766,0.95,0.8885720396378413
5.0,12.0,328,393,342,360,12,0.8346055979643766,0.95,0.8885720396378413
5.0,16.0,328,393,342,360,12,0.8346055979643766,0.95,0.8885720396378413
5.0,24.0,328,393,342,360,12,0.8346055979643766,0.95,0.8885720396378413
10.0,0.5,159,162,166,360,12,0.9814814814814815,0.46111111111111114,0.6274425902153759
10.0,1.0,251,279,262,360,12,0.899641577060932,0.7277777777777777,0.8046348297421968
10.0,2.0,330,359,343,360,12,0.9192200557103064,0.9527777777777777,0.9356981362916792
10.0,4.0,344,424,357,360,12,0.8113207547169812,0.9916666666666667,0.8924740559867446
10.0,8.0,343,458,357,360,12,0.7489082969432315,0.9916666666666667,0.853358700424411
10.0,12.0,343,458,357,360,12,0.7489082969432315,0.9916666666666667,0.853358700424411
10.0,16.0,343,458,357,360,12,0.7489082969432315,0.9916666666666667,0.853358700424411
10.0,24.0,343,458,357,360,12,0.7489082969432315,0.9916666666666667,0.853358700424411
20.0,0.5,158,161,165,360,12,0.9813664596273292,0.4583333333333333,0.6248427107675714
20.0,1.0,258,289,270,360,12,0.8927335640138409,0.75,0.8151658767772513
20.0,2.0,330,351,343,360,12,0.9401709401709402,0.9527777777777777,0.9464323788739637
20.0,4.0,344,403,358,360,12,0.8535980148883374,0.9944444444444445,0.9186540053857686
20.0,8.0,345,467,359,360,12,0.7387580299785867,0.9972222222222222,0.8487491990831001
20.0,12.0,346,482,360,360,12,0.7178423236514523,1.0,0.8357487922705313
20.0,16.0,346,482,360,360,12,0.7178423236514523,1.0,0.8357487922705313
20.0,24.0,346,482,360,360,12,0.7178423236514523,1.0,0.8357487922705313
