run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0001,18,30,17,17,0.9444444444444444,0.5666666666666667,0.7083333333333334,0001_con,0001_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,0.5,5,0,5,5,1500
0002,27,30,27,27,1.0,0.9,0.9473684210526316,0002_con,0002_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,0.5,5,0,5,5,2500
0003,26,30,26,26,1.0,0.8666666666666667,0.9285714285714286,0003_con,0003_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,1.0,5,0,5,5,1500
0004,30,30,30,30,1.0,1.0,1.0,0004_con,0004_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,1.0,5,0,5,5,2500
0005,49,30,30,30,0.6122448979591837,1.0,0.759493670886076,0005_con,0005_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,2.0,5,0,5,5,1500
0006,45,30,30,30,0.6666666666666666,1.0,0.8,0006_con,0006_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,2.0,5,0,5,5,2500
0007,150,30,30,30,0.2,1.0,0.33333333333333337,0007_con,0007_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,4.0,5,0,5,5,1500
0008,134,30,30,30,0.22388059701492538,1.0,0.36585365853658536,0008_con,0008_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,4.0,5,0,5,5,2500
0009,150,30,30,30,0.2,1.0,0.33333333333333337,0009_con,0009_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,8.0,5,0,5,5,1500
0010,134,30,30,30,0.22388059701492538,1.0,0.36585365853658536,0010_con,0010_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,8.0,5,0,5,5,2500
0011,150,30,30,30,0.2,1.0,0.33333333333333337,0011_con,0011_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,12.0,5,0,5,5,1500
0012,134,30,30,30,0.22388059701492538,1.0,0.36585365853658536,0012_con,0012_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,12.0,5,0,5,5,2500
0013,150,30,30,30,0.2,1.0,0.33333333333333337,0013_con,0013_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,3,1.5,10,1.0,True,16.0,5,0,5,5,1500
