coverage_treat,coverage_ctrl,tp_called,total_called,tp_planted,total_planted,n_runs,precision,recall,f1
5.0,0.5,245,266,250,360,12,0.9210526315789473,0.6944444444444444,0.7918552036199095
5.0,1.0,314,344,320,360,12,0.9127906976744186,0.8888888888888888,0.9006812477590534
5.0,2.0,343,595,349,360,12,0.5764705882352941,0.9694444444444444,0.7230102526160025
5.0,4.0,347,1685,353,360,12,0.2059347181008902,0.9805555555555555,0.340382785091528
5.0,8.0,347,1685,353,360,12,0.2059347181008902,0.9805555555555555,0.340382785091528
5.0,12.0,347,1685,353,360,12,0.2059347181008902,0.9805555555555555,0.340382785091528
5.0,16.0,347,1685,353,360,12,0.2059347181008902,0.9805555555555555,0.340382785091528
5.0,24.0,347,1685,353,360,12,0.2059347181008902,0.9805555555555555,0.340382785091528
10.0,0.5,248,267,252,360,12,0.9288389513108615,0.7,0.7983444469993102
10.0,1.0,321,347,327,360,12,0.9250720461095101,0.9083333333333333,0.916626278768191
10.0,2.0,338,420,344,360,12,0.8047619047619048,0.9555555555555556,0.8737000300571085
10.0,4.0,351,1538,357,360,12,0.2282184655396619,0.9916666666666667,0.3710458288546784
10.0,8.0,351,2448,358,360,12,0.14338235294117646,0.9944444444444445,0.2506282760106268
10.0,12.0,351,2448,358,360,12,0.14338235294117646,0.9944444444444445,0.2506282760106268
10.0,16.0,351,2448,358,360,12,0.14338235294117646,0.9944444444444445,0.2506282760106268
10.0,24.0,351,2448,358,360,12,0.14338235294117646,0.9944444444444445,0.2506282760106268
20.0,0.5,250,269,254,360,12,0.929368029739777,0.7055555555555556,0.8021424150171167
20.0,1.0,320,342,326,360,12,0.935672514619883,0.9055555555555556,0.9203677236073615
20.0,2.0,340,387,346,360,12,0.8785529715762274,0.9611111111111111,0.9179795709748655
20.0,4.0,348,1011,354,360,12,0.34421364985163205,0.9833333333333333,0.5099281004358679
20.0,8.0,352,2262,358,360,12,0.15561450044208666,0.9944444444444445,0.26911659811471456
20.0,12.0,352,2946,358,360,12,0.11948404616429056,0.9944444444444445,0.2133355002759466
20.0,16.0,352,2946,358,360,12,0.11948404616429056,0.9944444444444445,0.2133355002759466
20.0,24.0,352,2946,358,360,12,0.11948404616429056,0.9944444444444445,0.2133355002759466
