run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0001,21,30,21,21,1.0,0.7,0.8235294117647058,0001_con,0001_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,5,0,5,5,1500
0002,29,30,29,29,1.0,0.9666666666666667,0.983050847457627,0002_con,0002_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,5,0,5,5,2500
0003,30,30,28,28,0.9333333333333333,0.9333333333333333,0.9333333333333333,0003_con,0003_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,5,0,5,5,1500
0004,30,30,30,30,1.0,1.0,1.0,0004_con,0004_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,5,0,5,5,2500
0005,45,30,30,30,0.6666666666666666,1.0,0.8,0005_con,0005_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,5,0,5,5,1500
0006,43,30,30,30,0.6976744186046512,1.0,0.8219178082191781,0006_con,0006_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,5,0,5,5,2500
0007,145,30,30,30,0.20689655172413793,1.0,0.34285714285714286,0007_con,0007_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,5,0,5,5,1500
0008,91,30,30,30,0.32967032967032966,1.0,0.49586776859504134,0008_con,0008_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,5,0,5,5,2500
0009,145,30,30,30,0.20689655172413793,1.0,0.34285714285714286,0009_con,0009_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,5,0,5,5,1500
0010,91,30,30,30,0.32967032967032966,1.0,0.49586776859504134,0010_con,0010_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,5,0,5,5,2500
