coverage_treat,coverage_ctrl,tp_called,total_called,tp_planted,total_planted,n_runs,precision,recall,f1
5.0,0.5,145,168,152,360,12,0.8630952380952381,0.4222222222222222,0.567047442626325
5.0,1.0,241,273,251,360,12,0.8827838827838828,0.6972222222222222,0.7791065345208426
5.0,2.0,298,439,310,360,12,0.6788154897494305,0.8611111111111112,0.7591732752598923
5.0,4.0,320,759,334,360,12,0.42160737812911725,0.9277777777777778,0.5797573134150245
5.0,8.0,320,759,334,360,12,0.42160737812911725,0.9277777777777778,0.5797573134150245
5.0,12.0,320,759,334,360,12,0.42160737812911725,0.9277777777777778,0.5797573134150245
5.0,16.0,320,759,334,360,12,0.42160737812911725,0.9277777777777778,0.5797573134150245
5.0,24.0,320,759,334,360,12,0.42160737812911725,0.9277777777777778,0.5797573134150245
10.0,0.5,150,162,157,360,12,0.9259259259259259,0.4361111111111111,0.5929450864868948
10.0,1.0,230,259,239,360,12,0.888030888030888,0.6638888888888889,0.7597736021174699
10.0,2.0,307,353,319,360,12,0.8696883852691218,0.8861111111111111,0.8778229438839763
10.0,4.0,336,799,349,360,12,0.42052565707133915,0.9694444444444444,0.5865971671614837
10.0,8.0,342,1333,355,360,12,0.2565641410352588,0.9861111111111112,0.4071872353626737
10.0,12.0,342,1333,355,360,12,0.2565641410352588,0.9861111111111112,0.4071872353626737
10.0,16.0,342,1333,355,360,12,0.2565641410352588,0.9861111111111112,0.4071872353626737
10.0,24.0,342,1333,355,360,12,0.2565641410352588,0.9861111111111112,0.4071872353626737
20.0,0.5,149,161,156,360,12,0.9254658385093167,0.43333333333333335,0.5902788358982172
20.0,1.0,235,264,244,360,12,0.8901515151515151,0.6777777777777778,0.7695817898749128
20.0,2.0,306,335,318,360,12,0.9134328358208955,0.8833333333333333,0.8981309705108681
20.0,4.0,335,587,348,360,12,0.5706984667802385,0.9666666666666667,0.7176892106526799
20.0,8.0,345,1492,359,360,12,0.2312332439678284,0.9972222222222222,0.3754160175075929
20.0,12.0,346,1822,360,360,12,0.18990120746432493,1.0,0.3191881918819188
20.0,16.0,346,1822,360,360,12,0.18990120746432493,1.0,0.3191881918819188
20.0,24.0,346,1822,360,360,12,0.18990120746432493,1.0,0.3191881918819188
