run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0001,3,30,3,3,1.0,0.1,0.18181818181818182,0001_con,0001_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,5,0,5,20,1000
0002,27,30,26,27,0.9629629629629629,0.9,0.930417495029821,0002_con,0002_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,5,0,5,20,2500
0003,17,30,16,17,0.9411764705882353,0.5666666666666667,0.7074122236671001,0003_con,0003_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,5,0,5,20,1000
0004,28,30,28,29,1.0,0.9666666666666667,0.983050847457627,0004_con,0004_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,5,0,5,20,2500
0005,34,30,26,27,0.7647058823529411,0.9,0.8268551236749118,0005_con,0005_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,5,0,5,20,1000
0006,33,30,28,30,0.8484848484848485,1.0,0.9180327868852458,0006_con,0006_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,5,0,5,20,2500
0007,60,30,27,28,0.45,0.9333333333333333,0.6072289156626507,0007_con,0007_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,5,0,5,20,1000
0008,49,30,28,30,0.5714285714285714,1.0,0.7272727272727273,0008_con,0008_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,5,0,5,20,2500
0009,60,30,27,28,0.45,0.9333333333333333,0.6072289156626507,0009_con,0009_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,5,0,5,20,1000
0010,49,30,28,30,0.5714285714285714,1.0,0.7272727272727273,0010_con,0010_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,5,0,5,20,2500
0011,60,30,27,28,0.45,0.9333333333333333,0.6072289156626507,0011_con,0011_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,5,0,5,20,1000
0012,49,30,28,30,0.5714285714285714,1.0,0.7272727272727273,0012_con,0012_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,5,0,5,20,2500
0013,60,30,27,28,0.45,0.9333333333333333,0.6072289156626507,0013_con,0013_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,5,0,5,20,1000
0014,49,30,28,30,0.5714285714285714,1.0,0.7272727272727273,0014_con,0014_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,5,0,5,20,2500
0015,60,30,27,28,0.45,0.9333333333333333,0.6072289156626507,0015_con,0015_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,5,0,5,20,1000
0016,49,30,28,30,0.5714285714285714,1.0,0.7272727272727273,0016_con,0016_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,5,0,5,20,2500
0017,3,30,2,2,0.6666666666666666,0.06666666666666667,0.1212121212121212,0017_con,0017_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,10,0,5,20,1000
0018,28,30,27,28,0.9642857142857143,0.9333333333333333,0.9485570890840653,0018_con,0018_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,10,0,5,20,2500
0019,19,30,18,18,0.9473684210526315,0.6,0.7346938775510204,0019_con,0019_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,10,0,5,20,1000
0020,29,30,28,29,0.9655172413793104,0.9666666666666667,0.9660916121356335,0020_con,0020_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,10,0,5,20,2500
0021,29,30,26,27,0.896551724137931,0.9,0.8982725527831095,0021_con,0021_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,10,0,5,20,1000
0022,31,30,29,30,0.9354838709677419,1.0,0.9666666666666666,0022_con,0022_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,10,0,5,20,2500
0023,63,30,28,29,0.4444444444444444,0.9666666666666667,0.6089238845144357,0023_con,0023_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,10,0,5,20,1000
0024,54,30,28,30,0.5185185185185185,1.0,0.6829268292682926,0024_con,0024_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,10,0,5,20,2500
0025,106,30,28,29,0.2641509433962264,0.9666666666666667,0.41492079713847724,0025_con,0025_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,10,0,5,20,1000
0026,90,30,28,30,0.3111111111111111,1.0,0.4745762711864407,0026_con,0026_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,10,0,5,20,2500
0027,106,30,28,29,0.2641509433962264,0.9666666666666667,0.41492079713847724,0027_con,0027_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,10,0,5,20,1000
0028,90,30,28,30,0.3111111111111111,1.0,0.4745762711864407,0028_con,0028_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,10,0,5,20,2500
0029,106,30,28,29,0.2641509433962264,0.9666666666666667,0.41492079713847724,0029_con,0029_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,10,0,5,20,1000
0030,90,30,28,30,0.3111111111111111,1.0,0.4745762711864407,0030_con,0030_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,10,0,5,20,2500
0031,106,30,28,29,0.2641509433962264,0.9666666666666667,0.41492079713847724,0031_con,0031_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,10,0,5,20,1000
0032,90,30,28,30,0.3111111111111111,1.0,0.4745762711864407,0032_con,0032_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,10,0,5,20,2500
0033,3,30,3,3,1.0,0.1,0.18181818181818182,0033_con,0033_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,20,0,5,20,1000
0034,27,30,27,28,1.0,0.9333333333333333,0.9655172413793104,0034_con,0034_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,20,0,5,20,2500
0035,19,30,17,17,0.8947368421052632,0.5666666666666667,0.6938775510204083,0035_con,0035_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,20,0,5,20,1000
0036,29,30,29,30,1.0,1.0,1.0,0036_con,0036_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,20,0,5,20,2500
0037,28,30,26,27,0.9285714285714286,0.9,0.9140625,0037_con,0037_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,20,0,5,20,1000
0038,31,30,29,30,0.9354838709677419,1.0,0.9666666666666666,0038_con,0038_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,20,0,5,20,2500
0039,37,30,28,29,0.7567567567567568,0.9666666666666667,0.8489283847360168,0039_con,0039_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,20,0,5,20,1000
0040,34,30,28,30,0.8235294117647058,1.0,0.9032258064516129,0040_con,0040_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,20,0,5,20,2500
0041,118,30,29,30,0.2457627118644068,1.0,0.3945578231292517,0041_con,0041_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,20,0,5,20,1000
0042,106,30,28,30,0.2641509433962264,1.0,0.41791044776119407,0042_con,0042_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,20,0,5,20,2500
0043,133,30,29,30,0.21804511278195488,1.0,0.35802469135802467,0043_con,0043_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,20,0,5,20,1000
0044,128,30,28,30,0.21875,1.0,0.358974358974359,0044_con,0044_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,20,0,5,20,2500
0045,133,30,29,30,0.21804511278195488,1.0,0.35802469135802467,0045_con,0045_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,20,0,5,20,1000
0046,128,30,28,30,0.21875,1.0,0.358974358974359,0046_con,0046_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,20,0,5,20,2500
0047,133,30,29,30,0.21804511278195488,1.0,0.35802469135802467,0047_con,0047_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,20,0,5,20,1000
0048,128,30,28,30,0.21875,1.0,0.358974358974359,0048_con,0048_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,20,0,5,20,2500
0049,2,30,1,1,0.5,0.03333333333333333,0.0625,0049_con,0049_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,0.5,5,0,5,20,1000
0050,26,30,24,25,0.9230769230769231,0.8333333333333334,0.8759124087591241,0050_con,0050_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,0.5,5,0,5,20,2500
0051,19,30,18,18,0.9473684210526315,0.6,0.7346938775510204,0051_con,0051_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,1.0,5,0,5,20,1000
