coverage_treat,coverage_ctrl,tp_called,total_called,tp_planted,total_planted,n_runs,precision,recall,f1
5.0,0.5,152,162,157,360,12,0.9382716049382716,0.4361111111111111,0.5954537515283079
5.0,1.0,254,278,262,360,12,0.9136690647482014,0.7277777777777777,0.8101974725462028
5.0,2.0,300,397,313,360,12,0.7556675062972292,0.8694444444444445,0.8085731138675887
5.0,4.0,328,720,341,360,12,0.45555555555555555,0.9472222222222222,0.6152255225522553
5.0,8.0,328,720,341,360,12,0.45555555555555555,0.9472222222222222,0.6152255225522553
5.0,12.0,328,720,341,360,12,0.45555555555555555,0.9472222222222222,0.6152255225522553
5.0,16.0,328,720,341,360,12,0.45555555555555555,0.9472222222222222,0.6152255225522553
5.0,24.0,328,720,341,360,12,0.45555555555555555,0.9472222222222222,0.6152255225522553
10.0,0.5,150,163,157,360,12,0.9202453987730062,0.4361111111111111,0.5917754519983415
10.0,1.0,249,273,259,360,12,0.9120879120879121,0.7194444444444444,0.8043929727403694
10.0,2.0,306,347,318,360,12,0.8818443804034583,0.8833333333333333,0.8825882288917309
10.0,4.0,336,715,349,360,12,0.4699300699300699,0.9694444444444444,0.6330125912630399
10.0,8.0,341,1211,354,360,12,0.2815854665565648,0.9833333333333333,0.4378026091024818
10.0,12.0,341,1211,354,360,12,0.2815854665565648,0.9833333333333333,0.4378026091024818
10.0,16.0,341,1211,354,360,12,0.2815854665565648,0.9833333333333333,0.4378026091024818
10.0,24.0,341,1211,354,360,12,0.2815854665565648,0.9833333333333333,0.4378026091024818
20.0,0.5,157,170,163,360,12,0.9235294117647059,0.4527777777777778,0.6076457319244926
20.0,1.0,259,284,267,360,12,0.9119718309859155,0.7416666666666667,0.8180495421960395
20.0,2.0,313,342,325,360,12,0.9152046783625731,0.9027777777777778,0.9089487557521333
20.0,4.0,341,496,354,360,12,0.6875,0.9833333333333333,0.8092269326683291
20.0,8.0,346,1371,359,360,12,0.2523705324580598,0.9972222222222222,0.4028024366476475
20.0,12.0,347,1666,360,360,12,0.20828331332533012,1.0,0.34475906607054146
20.0,16.0,347,1666,360,360,12,0.20828331332533012,1.0,0.34475906607054146
20.0,24.0,347,1666,360,360,12,0.20828331332533012,1.0,0.34475906607054146
