study_id,role,accession,file_format,assembly,local_path,remote_url,needs_alignment,selection_status,selection_reason
encode_skn1_celegans_l1,treatment_rep1,ENCFF775SIN,bam,ce11,,https://www.encodeproject.org/files/ENCFF775SIN/,false,selected,official ENCODE filtered alignment accession already known
encode_skn1_celegans_l1,treatment_rep2,ENCFF927CRC,bam,ce11,,https://www.encodeproject.org/files/ENCFF927CRC/,false,selected,official ENCODE filtered alignment accession already known
encode_skn1_celegans_l1,control_pooled,ENCFF904DXM,bam,ce11,,https://www.encodeproject.org/files/ENCFF904DXM/,false,selected,official ENCODE pooled input accession already known
plos_li_2021_celegans_repressive_marks,treatment_unknown,PRJNA699886,unknown,unknown,,,unknown,pending_external_fetch,requires live NCBI metadata lookup
geo_gse67028_celegans_h3k9me2_adult,treatment_rep1,SRR1917669,fastq,ce11,,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/009/SRR1917669/SRR1917669.fastq.gz,true,selected,GSM1636403 H3K9me2_ChIPseq fer-1 rep1 selected as clean broad treatment replicate
geo_gse67028_celegans_h3k9me2_adult,treatment_rep2,SRR1917670,fastq,ce11,,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/000/SRR1917670/SRR1917670.fastq.gz,true,selected,GSM1636404 H3K9me2_ChIPseq fer-1 rep2 selected as clean broad treatment replicate
geo_gse67028_celegans_h3k9me2_adult,control_input,SRR1917671,fastq,ce11,,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/001/SRR1917671/SRR1917671.fastq.gz,true,selected,GSM1636405 Input DNA selected as shared control
geo_gse67028_celegans_h3k9me2_adult,treatment_alt_rep1,SRR1917667,fastq,ce11,,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR1917667,true,deferred_alt,GSM1636401 fer-1;him-8 rep1 retained as alternate condition and not used in the main prototype
geo_gse67028_celegans_h3k9me2_adult,treatment_alt_rep2,SRR1917668,fastq,ce11,,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR1917668,true,deferred_alt,GSM1636402 fer-1;him-8 rep2 retained as alternate condition and not used in the main prototype
encode_mouse_h3k27me3_midbrain_e12_5,treatment_rep1,ENCFF675TAW,bam,mm10,,https://www.encodeproject.org/files/ENCFF675TAW/,false,fallback,mm10 alignment BAM from ENCSR104PWP biological replicate 1
encode_mouse_h3k27me3_midbrain_e12_5,treatment_rep2,ENCFF620AVS,bam,mm10,,https://www.encodeproject.org/files/ENCFF620AVS/,false,fallback,mm10 alignment BAM from ENCSR104PWP biological replicate 2
encode_mouse_h3k27me3_midbrain_e12_5,control_rep1,ENCFF548IIV,bam,mm10,,https://www.encodeproject.org/files/ENCFF548IIV/,false,fallback,mm10 alignment BAM from ENCSR415FCU biological replicate 1
encode_mouse_h3k27me3_midbrain_e12_5,control_rep2,ENCFF781DUP,bam,mm10,,https://www.encodeproject.org/files/ENCFF781DUP/,false,fallback,mm10 alignment BAM from ENCSR415FCU biological replicate 2
encode_mouse_h3k36me3_neural_tube_e13_5,treatment_rep1,ENCFF939LXA,bam,mm10,,https://www.encodeproject.org/files/ENCFF939LXA/,false,fallback,mm10 alignment BAM from ENCSR107SLP biological replicate 1
encode_mouse_h3k36me3_neural_tube_e13_5,treatment_rep2,ENCFF133ZFX,bam,mm10,,https://www.encodeproject.org/files/ENCFF133ZFX/,false,fallback,mm10 alignment BAM from ENCSR107SLP biological replicate 2
encode_mouse_h3k36me3_neural_tube_e13_5,control_rep1,ENCFF904KQI,bam,mm10,,https://www.encodeproject.org/files/ENCFF904KQI/,false,fallback,mm10 alignment BAM from ENCSR295GGT biological replicate 1
encode_mouse_h3k36me3_neural_tube_e13_5,control_rep2,ENCFF814RAT,bam,mm10,,https://www.encodeproject.org/files/ENCFF814RAT/,false,fallback,mm10 alignment BAM from ENCSR295GGT biological replicate 2
