study_id,role,accession,file_format,assembly,local_path,remote_url,needs_alignment,selection_status,selection_reason,source,signal_class,selection_status_study,selection_reason_study,eligible_pairing,eligible_files,eligible_realism_reference,eligible_realstudy_simulation,download_status,metadata_status,ingest_mode,failure_scope,local_exists
encode_skn1_celegans_l1,treatment_rep1,ENCFF775SIN,bam,ce11,data/raw/encode_skn1_celegans_l1/ENCFF775SIN,https://www.encodeproject.org/files/ENCFF775SIN/,false,selected,official ENCODE filtered alignment accession already known,ENCODE,narrow,selected,local ENCODE rebuild metadata and BAM accessions already captured,True,True,True,True,not_started,locally_grounded,download_processed_bam,per_file,False
encode_skn1_celegans_l1,treatment_rep2,ENCFF927CRC,bam,ce11,data/raw/encode_skn1_celegans_l1/ENCFF927CRC,https://www.encodeproject.org/files/ENCFF927CRC/,false,selected,official ENCODE filtered alignment accession already known,ENCODE,narrow,selected,local ENCODE rebuild metadata and BAM accessions already captured,True,True,True,True,not_started,locally_grounded,download_processed_bam,per_file,False
encode_skn1_celegans_l1,control_pooled,ENCFF904DXM,bam,ce11,data/raw/encode_skn1_celegans_l1/ENCFF904DXM,https://www.encodeproject.org/files/ENCFF904DXM/,false,selected,official ENCODE pooled input accession already known,ENCODE,narrow,selected,local ENCODE rebuild metadata and BAM accessions already captured,True,True,True,True,not_started,locally_grounded,download_processed_bam,per_file,False
geo_gse67028_celegans_h3k9me2_adult,treatment_rep1,SRR1917669,fastq,ce11,data/raw/geo_gse67028_celegans_h3k9me2_adult/SRR1917669.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/009/SRR1917669/SRR1917669.fastq.gz,true,selected,GSM1636403 H3K9me2_ChIPseq fer-1 rep1 selected as clean broad treatment replicate,GEO,broad,selected,cleaner worm broad-mark choice with explicit input control; primary subset uses fer-1 treatment replicates plus one shared input run,True,False,True,True,downloaded,locally_grounded,download_fastq,per_file,True
geo_gse67028_celegans_h3k9me2_adult,treatment_rep2,SRR1917670,fastq,ce11,data/raw/geo_gse67028_celegans_h3k9me2_adult/SRR1917670.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/000/SRR1917670/SRR1917670.fastq.gz,true,selected,GSM1636404 H3K9me2_ChIPseq fer-1 rep2 selected as clean broad treatment replicate,GEO,broad,selected,cleaner worm broad-mark choice with explicit input control; primary subset uses fer-1 treatment replicates plus one shared input run,True,False,True,True,downloaded,locally_grounded,download_fastq,per_file,True
geo_gse67028_celegans_h3k9me2_adult,control_input,SRR1917671,fastq,ce11,data/raw/geo_gse67028_celegans_h3k9me2_adult/SRR1917671.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/001/SRR1917671/SRR1917671.fastq.gz,true,selected,GSM1636405 Input DNA selected as shared control,GEO,broad,selected,cleaner worm broad-mark choice with explicit input control; primary subset uses fer-1 treatment replicates plus one shared input run,True,False,True,True,downloaded,locally_grounded,download_fastq,per_file,True
geo_gse67028_celegans_h3k9me2_adult,treatment_alt_rep1,SRR1917667,fastq,ce11,data/raw/geo_gse67028_celegans_h3k9me2_adult/Traces,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR1917667,true,deferred_alt,GSM1636401 fer-1;him-8 rep1 retained as alternate condition and not used in the main prototype,GEO,broad,selected,cleaner worm broad-mark choice with explicit input control; primary subset uses fer-1 treatment replicates plus one shared input run,True,False,True,True,not_started,deferred_alt,download_fastq,per_file,False
geo_gse67028_celegans_h3k9me2_adult,treatment_alt_rep2,SRR1917668,fastq,ce11,data/raw/geo_gse67028_celegans_h3k9me2_adult/Traces,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR1917668,true,deferred_alt,GSM1636402 fer-1;him-8 rep2 retained as alternate condition and not used in the main prototype,GEO,broad,selected,cleaner worm broad-mark choice with explicit input control; primary subset uses fer-1 treatment replicates plus one shared input run,True,False,True,True,not_started,deferred_alt,download_fastq,per_file,False
encode_mouse_h3k27me3_midbrain_e12_5,treatment_rep1,ENCFF675TAW,bam,mm10,data/raw/encode_mouse_h3k27me3_midbrain_e12_5/ENCFF675TAW,https://www.encodeproject.org/files/ENCFF675TAW/,false,fallback,mm10 alignment BAM from ENCSR104PWP biological replicate 1,ENCODE,broad,fallback,live ENCODE metadata resolved; broad fallback ready if worm primary remains blocked,True,True,True,True,not_started,fallback_not_promoted,download_processed_bam,per_file,False
encode_mouse_h3k27me3_midbrain_e12_5,treatment_rep2,ENCFF620AVS,bam,mm10,data/raw/encode_mouse_h3k27me3_midbrain_e12_5/ENCFF620AVS,https://www.encodeproject.org/files/ENCFF620AVS/,false,fallback,mm10 alignment BAM from ENCSR104PWP biological replicate 2,ENCODE,broad,fallback,live ENCODE metadata resolved; broad fallback ready if worm primary remains blocked,True,True,True,True,not_started,fallback_not_promoted,download_processed_bam,per_file,False
