run_id,study_id,coverage_treat,coverage_ctrl,seed,fragment_length,read_length,aligner,peakcaller,macs2_mode,assembly,sampling_label,control_sampling_label
encode_skn1_celegans_l1_t5_c0p5_s11_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,0.5,11,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c0p5_s23_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,0.5,23,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c0p5_s37_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,0.5,37,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c1_s11_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,1.0,11,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c1_s23_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,1.0,23,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c1_s37_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,1.0,37,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c2_s11_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,2.0,11,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c2_s23_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,2.0,23,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c2_s37_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,2.0,37,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_below_observed_depth
encode_skn1_celegans_l1_t5_c4_s11_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,4.0,11,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_at_observed_depth
encode_skn1_celegans_l1_t5_c4_s23_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,4.0,23,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_at_observed_depth
encode_skn1_celegans_l1_t5_c4_s37_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,4.0,37,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,sampling_at_observed_depth
encode_skn1_celegans_l1_t5_c8_s11_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,8.0,11,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,model_resampled_above_observed_depth
encode_skn1_celegans_l1_t5_c8_s23_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,8.0,23,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,model_resampled_above_observed_depth
encode_skn1_celegans_l1_t5_c8_s37_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,8.0,37,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,model_resampled_above_observed_depth
encode_skn1_celegans_l1_t5_c12_s11_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,12.0,11,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,model_resampled_above_observed_depth
encode_skn1_celegans_l1_t5_c12_s23_fl150_rl38_albowtie2_pcmacs2_mnarrow,encode_skn1_celegans_l1,5.0,12.0,23,150,38,bowtie2,macs2,narrow,ce11,sampling_below_observed_depth,model_resampled_above_observed_depth
